Date,Open,High,Low,Close,Change %
"Mar 21, 2019","1,197.57","1,202.95","1,194.76","1,197.86",0.08
"Mar 20, 2019","1,190.33","1,197.63","1,189.43","1,196.86",0.64
"Mar 19, 2019","1,184.07","1,189.81","1,179.12","1,189.23",0.42
"Mar 18, 2019","1,186.49","1,188.82","1,182.31","1,184.28",-0.26
"Mar 15, 2019","1,189.28","1,190.26","1,184.56","1,187.36",-0.20
"Mar 14, 2019","1,184.73","1,190.08","1,181.89","1,189.76",0.43
"Mar 13, 2019","1,184.67","1,189.51","1,184.43","1,184.68",-0.11
"Mar 12, 2019","1,185.57","1,186.33","1,181.05","1,186.01",-0.03
"Mar 11, 2019","1,187.10","1,188.36","1,184.68","1,186.33",-0.20
"Mar 08, 2019","1,189.09","1,190.56","1,186.18","1,188.70",0.16
"Mar 07, 2019","1,182.16","1,189.68","1,182.11","1,186.80",0.54
"Mar 06, 2019","1,175.84","1,180.50","1,173.12","1,180.41",0.34
"Mar 05, 2019","1,170.80","1,177.17","1,170.52","1,176.39",0.58
"Mar 04, 2019","1,177.86","1,178.84","1,163.62","1,169.63",-0.74
"Mar 01, 2019","1,178.05","1,180.05","1,170.84","1,178.30",-0.29
"Feb 28, 2019","1,174.84","1,184.16","1,174.76","1,181.72",0.81
"Feb 27, 2019","1,169.12","1,172.61","1,168.62","1,172.28",0.29
"Feb 26, 2019","1,164.73","1,169.01","1,161.89","1,168.89",0.39
"Feb 25, 2019","1,166.99","1,167.36","1,160.70","1,164.37",-0.36
"Feb 22, 2019","1,168.40","1,172.83","1,168.26","1,168.55",0.02
"Feb 21, 2019","1,165.28","1,168.39","1,163.60","1,168.32",0.43
"Feb 20, 2019","1,169.24","1,169.24","1,160.71","1,163.35",-0.51
"Feb 19, 2019","1,174.66","1,176.93","1,168.19","1,169.37",-0.50
"Feb 15, 2019","1,176.83","1,178.81","1,172.13","1,175.22",-0.10
"Feb 14, 2019","1,171.64","1,176.90","1,171.64","1,176.34",0.39
"Feb 13, 2019","1,173.28","1,173.88","1,169.07","1,171.77",-0.20
"Feb 12, 2019","1,178.78","1,181.17","1,171.72","1,174.16",-0.62
"Feb 11, 2019","1,185.33","1,188.73","1,180.92","1,181.54",-0.22
"Feb 08, 2019","1,179.93","1,188.29","1,176.56","1,184.09",0.16
"Feb 07, 2019","1,178.03","1,183.76","1,174.42","1,182.17",0.60
"Feb 06, 2019","1,176.76","1,176.76","1,167.38","1,175.17",-0.19
"Feb 05, 2019","1,178.46","1,180.32","1,176.54","1,177.37",0.01
"Feb 04, 2019","1,175.16","1,179.75","1,175.16","1,177.30",0.18
"Feb 01, 2019","1,175.96","1,177.31","1,173.26","1,175.21",-0.06
"Jan 31, 2019","1,173.03","1,176.79","1,172.22","1,175.96",0.27
"Jan 30, 2019","1,173.16","1,176.04","1,171.80","1,172.82",0.21
"Jan 29, 2019","1,173.02","1,175.55","1,168.79","1,170.31",-0.23
"Jan 28, 2019","1,179.60","1,179.60","1,171.98","1,172.95",-0.32
"Jan 25, 2019","1,182.15","1,182.15","1,175.65","1,176.71",-0.63
"Jan 24, 2019","1,193.97","1,194.40","1,181.50","1,184.22",-1.09
"Jan 23, 2019","1,192.67","1,199.42","1,191.73","1,197.24",0.34
"Jan 22, 2019","1,186.36","1,197.28","1,186.36","1,193.18",0.69
"Jan 18, 2019","1,189.80","1,191.46","1,183.51","1,184.97",-0.52
"Jan 17, 2019","1,192.27","1,196.92","1,190.38","1,191.13",-0.01
"Jan 16, 2019","1,194.09","1,194.73","1,187.12","1,191.30",-0.08
"Jan 15, 2019","1,184.62","1,193.72","1,184.62","1,192.24",0.70
"Jan 14, 2019","1,183.85","1,187.59","1,180.27","1,183.97",0.10
"Jan 11, 2019","1,189.10","1,190.96","1,179.98","1,182.80",-0.45
"Jan 10, 2019","1,191.30","1,191.57","1,183.69","1,188.13",-0.37
"Jan 09, 2019","1,197.04","1,198.68","1,191.53","1,192.58",-0.40
"Jan 08, 2019","1,195.66","1,199.09","1,192.77","1,197.36",0.10
"Jan 07, 2019","1,196.32","1,205.07","1,193.26","1,196.14",0.06
"Jan 04, 2019","1,198.97","1,201.03","1,195.07","1,195.38",-0.43
"Jan 03, 2019","1,205.11","1,208.15","1,198.48","1,200.53",-0.41
"Jan 02, 2019","1,222.50","1,222.67","1,204.36","1,205.50",-1.33
"Dec 31, 2018","1,217.58","1,227.91","1,216.26","1,221.75",0.37
"Dec 28, 2018","1,219.20","1,221.26","1,211.51","1,217.22",-0.05
"Dec 27, 2018","1,217.61","1,218.77","1,209.75","1,217.79",0.15
"Dec 26, 2018","1,211.43","1,223.48","1,211.43","1,215.93",0.38
"Dec 24, 2018","1,214.46","1,217.66","1,208.72","1,211.37",-0.29
